"titulo","anio","director","ratingIMDB","sentimiento","critico","archivo.texto","url.imdb"
"Mulan",1998,"Tony Bancroft",7.6,"P","Andrew Hicks","cv554_13151.txt","http://www.imdb.com/title/tt0120762/"
"Las alas de la paloma",1997,"Iain Softley",7.2,"P","Marty Mapes","cv482_10580.txt","http://www.imdb.com/title/tt0120520/"
"El despertar del diablo 2",1987,"Sam Raimi",7.8,"P","Lars Lindahl","cv107_24319.txt","http://www.imdb.com/title/tt0092991/"
"Matilda",1996,"Danny DeVito",6.9,"P","Scott Renshaw","cv875_5754.txt","http://www.imdb.com/title/tt0117008/"
"Invasión",1997,"Paul Verhoeven",7.2,"P","Jamie Peck","cv632_9610.txt","http://www.imdb.com/title/tt0120201/"
"El mensajero",1997,"Kevin Costner",6,"P","Michael Redman","cv502_10406.txt","http://www.imdb.com/title/tt0119925/"
"La trampa",1997,"David Mamet",7.3,"P","Lars Lindahl","cv820_22892.txt","http://www.imdb.com/title/tt0120176/"
"Amenaza oculta",1987,"Jack Sholder",7,"P","Berge Garabedian","cv493_12839.txt","http://www.imdb.com/title/tt0093185/"
"La trampa",1999,"Alexander Payne",7.3,"P","Mac VerStandig","cv313_18198.txt","http://www.imdb.com/title/tt0126886/"
"Bichos: una aventura en miniatura",1998,"John Lasseter",7.2,"P","Nathaniel R. Atcheson","cv743_15449.txt","http://www.imdb.com/title/tt0120623/"
"Magnolia",1999,"Paul Thomas Anderson",8,"P","Lars Lindahl","cv251_22636.txt","http://www.imdb.com/title/tt0175880/"
"El gran Lebowski",1998,"Joel Coen",8.2,"P","Jamie Peck","cv739_11209.txt","http://www.imdb.com/title/tt0118715/"
"Los Expedientes X: La película",1998,"Rob Bowman",7,"P","Matthew Brissette","cv986_13527.txt","http://www.imdb.com/title/tt0120902/"
"Toy Story 2",1999,"John Lasseter",7.9,"P","Bryant Frazer","cv660_21893.txt","http://www.imdb.com/title/tt0120363/"
"Hilary y Jackie",1998,"Anand Tucker",7.4,"P","Craig Roush","cv515_17069.txt","http://www.imdb.com/title/tt0150915/"
"Austin Powers: El espía seductor",1999,"Jay Roach",6.6,"P","Jamey Hughton","cv735_18801.txt","http://www.imdb.com/title/tt0145660/"
"Criaturas de la noche",2000,"David Twohy",7.1,"P","Scott Hunt","cv832_23275.txt","http://www.imdb.com/title/tt0134847/"
"Fresa y chocolate",1993,"Tomás Gutiérrez Alea",7.5,"P","Leo Bueno","cv540_3421.txt","http://www.imdb.com/title/tt0106966/"
"Un romance peligroso",1998,"Steven Soderbergh",7,"P","Andrew Hicks","cv662_13320.txt","http://www.imdb.com/title/tt0120780/"
"Máximo riesgo",1996,"Ringo Lam",5.5,"P","Bryant Frazer","cv964_6021.txt","http://www.imdb.com/title/tt0117011/"
"Invasión",1997,"Paul Verhoeven",7.2,"P","Scott Renshaw","cv758_9671.txt","http://www.imdb.com/title/tt0120201/"
"Crash: Extraños placeres",1996,"David Cronenberg",6.4,"P","Ted Prigge","cv391_10802.txt","http://www.imdb.com/title/tt0115964/"
"Amistad",1997,"Steven Spielberg",7.3,"P","James Berardinelli","cv738_10116.txt","http://www.imdb.com/title/tt0118607/"
"The Deep End of the Ocean",1999,"Ulu Grosbard",6.3,"P","Tim Voon","cv114_18398.txt","http://www.imdb.com/title/tt0120646/"
"Jay and Silent Bob Strike Back",2001,"Kevin Smith",6.9,"P","Bob Bloom","cv472_29280.txt","http://www.imdb.com/title/tt0261392/"
"Música del corazón",1999,"Wes Craven",6.8,"P","Mac VerStandig","cv811_21386.txt","http://www.imdb.com/title/tt0166943/"
"Alarido",1977,"Dario Argento",7.5,"P","Mike Watson","cv413_7398.txt","http://www.imdb.com/title/tt0076786/"
"Jane Austen's Mafia!",1998,"Jim Abrahams",5.5,"P","Nathaniel R. Atcheson","cv816_13655.txt","http://www.imdb.com/title/tt0120741/"
"Monsoon Wedding",2001,"Mira Nair",7.4,"P","Mark R. Leeper","cv128_29627.txt","http://www.imdb.com/title/tt0265343/"
"Vampiros",1998,"John Carpenter",6.1,"P","Craig Roush","cv646_15065.txt","http://www.imdb.com/title/tt0120877/"
"Amelie",2001,"Jean-Pierre Jeunet",8.3,"P","JoBlo","cv567_29611.txt","http://www.imdb.com/title/tt0211915/"
"Ba liang jin",1989,"Mabel Cheung",7.1,"P","David Dalgleish","cv653_19583.txt","http://www.imdb.com/title/tt0099079/"
"Criaturas salvajes",1998,"John McNaughton",6.5,"P","Jamie Peck","cv236_11565.txt","http://www.imdb.com/title/tt0120890/"
"Rescatando al soldado Ryan",1998,"Steven Spielberg",8.6,"P","Andrew Hicks","cv441_13711.txt","http://www.imdb.com/title/tt0120815/"
"Return to Me",2000,"Bonnie Hunt",6.9,"P","Fontaine Lien","cv083_24234.txt","http://www.imdb.com/title/tt0122459/"
"El paciente inglés",1996,"Anthony Minghella",7.4,"P","John Bauer","cv091_7400.txt","http://www.imdb.com/title/tt0116209/"
"Memoria explosiva",1996,"Renny Harlin",6.7,"P","mrbrown@ucla.edu","cv072_6169.txt","http://www.imdb.com/title/tt0116908/"
"La vida es bella",1997,"Roberto Benigni",8.6,"P","Bob Bloom","cv167_16376.txt","http://www.imdb.com/title/tt0118799/"
"Escándalo en la casa blanca",1997,"Barry Levinson",7.1,"P","Chad Polenz","cv804_10862.txt","http://www.imdb.com/title/tt0120885/"
"Donnie Brasco",1997,"Mike Newell",7.8,"P","Chad Polenz","cv833_11053.txt","http://www.imdb.com/title/tt0119008/"
"La mejor de mis bodas",1998,"Frank Coraci",6.8,"P","E. Benjamin Kelsey","cv594_11039.txt","http://www.imdb.com/title/tt0120888/"
"Adiós a Las Vegas",1995,"Mike Figgis",7.6,"P","Jason Wallis","cv709_10529.txt","http://www.imdb.com/title/tt0113627/"
"El vengador del futuro",1990,"Paul Verhoeven",7.5,"P","David Wilcock","cv334_10001.txt","http://www.imdb.com/title/tt0100802/"
"Matinee",1993,"Joe Dante",6.8,"P","David Pimmel","cv047_1754.txt","http://www.imdb.com/title/tt0107529/"
"Milagros inesperados",1999,"Frank Darabont",8.5,"P","Michael Elliott","cv834_22195.txt","http://www.imdb.com/title/tt0120689/"
"The Truman Show: Historia de una vida",1998,"Peter Weir",8.1,"P","Andrew Hicks","cv178_12972.txt","http://www.imdb.com/title/tt0120382/"
"South Park: Más grande, más larga y sin censura",1999,"Trey Parker",7.8,"P","Eugene Novikov","cv590_19290.txt","http://www.imdb.com/title/tt0158983/"
"Dead Heart",1996,"Nick Parsons",6.5,"P","David Sidwell","cv985_6359.txt","http://www.imdb.com/title/tt0116047/"
"Carne trémula",1997,"Pedro Almodóvar",7.4,"P","David N. Butterworth","cv172_11131.txt","http://www.imdb.com/title/tt0118819/"
"Romy and Michele's High School Reunion",1997,"David Mirkin",6.2,"P","Phil Curtolo","cv915_8841.txt","http://www.imdb.com/title/tt0120032/"
"Stuart Little, un ratón en la familia",1999,"Rob Minkoff",5.9,"P","Brandon Herring","cv134_22246.txt","http://www.imdb.com/title/tt0164912/"
"Shrek",2001,"Andrew Adamson",7.9,"P","Shannon Patrick Sullivan","cv312_29377.txt","http://www.imdb.com/title/tt0126029/"
"Matrix",1999,"Lana Wachowski",8.7,"P","Brian Takeshita","cv492_18271.txt","http://www.imdb.com/title/tt0133093/"
"Escándalo en la casa blanca",1997,"Barry Levinson",7.1,"P","Kevin Patterson","cv112_11193.txt","http://www.imdb.com/title/tt0120885/"
"La jaula de los pájaros",1996,"Mike Nichols",7,"P","Michael Redman","cv145_11472.txt","http://www.imdb.com/title/tt0115685/"
"Caracortada",1983,"Brian De Palma",8.3,"P","David Landers","cv450_7890.txt","http://www.imdb.com/title/tt0086250/"
"Home Fries",1998,"Dean Parisot",5,"P","Vince Yim","cv137_15422.txt","http://www.imdb.com/title/tt0119304/"
"Alerta en lo profundo",1999,"Renny Harlin",5.8,"P","Choo Eng Aun, Jack","cv322_20318.txt","http://www.imdb.com/title/tt0149261/"
"Onegin: El rechazo",1999,"Martha Fiennes",6.9,"P","Bill Chambers","cv215_22240.txt","http://www.imdb.com/title/tt0119079/"
"Kiki entregas a domicilio",1989,"Hayao Miyazaki",7.9,"P","Jeffrey Rutsch","cv967_5788.txt","http://www.imdb.com/title/tt0097814/"
"Los intocables",1987,"Brian De Palma",7.9,"P","Lars Lindahl","cv017_22464.txt","http://www.imdb.com/title/tt0094226/"
"El demonio",2001,"Victor Salva",6.1,"P","Jonathan F. Richards","cv008_29435.txt","http://www.imdb.com/title/tt0263488/"
"On connaît la chanson",1997,"Alain Resnais",7.4,"P","Dennis Schwartz","cv672_28083.txt","http://www.imdb.com/title/tt0119828/"
"Soul Food",1997,"George Tillman Jr.",7,"P","Larry Mcgillicuddy","cv617_9322.txt","http://www.imdb.com/title/tt0120169/"
"Obsesión",1976,"Brian De Palma",6.8,"P","Dennis Schwartz","cv883_27751.txt","http://www.imdb.com/title/tt0074991/"
"Tres son multitud",1998,"Wes Anderson",7.7,"P","MosseHood","cv384_17140.txt","http://www.imdb.com/title/tt0128445/"
"Schock",1977,"Mario Bava",6.3,"P","Mike Watson","cv431_7085.txt","http://www.imdb.com/title/tt0075651/"
"Blade: Cazador de vampiros",1998,"Stephen Norrington",7.1,"P","Vince Yim","cv432_14224.txt","http://www.imdb.com/title/tt0120611/"
"Rescatando al soldado Ryan",1998,"Steven Spielberg",8.6,"P","Edward Burke","cv229_13611.txt","http://www.imdb.com/title/tt0120815/"
"Vidas sin reglas",1997,"Danny Boyle",6.4,"P","E. Benjamin Kelsey","cv038_9749.txt","http://www.imdb.com/title/tt0119535/"
"Carry on Behind",1975,"Gerald Thomas",5.4,"P","Graeme Huggan","cv139_12873.txt","http://www.imdb.com/title/tt0072764/"
"Fear and Loathing in Las Vegas",1998,"Terry Gilliam",7.7,"P","Berge Garabedian","cv761_12620.txt","http://www.imdb.com/title/tt0120669/"
"Trece días",2000,"Roger Donaldson",7.3,"P","Robin Clifford","cv771_28665.txt","http://www.imdb.com/title/tt0146309/"
"Los perros de la guerra",1980,"John Irvin",6.3,"P","Dragan Antulov","cv267_14952.txt","http://www.imdb.com/title/tt0080641/"
"007: El mundo no basta",1999,"Michael Apted",6.4,"P","Joe Chamberlain","cv700_21947.txt","http://www.imdb.com/title/tt0143145/"
"Atrapado por su pasado",1993,"Brian De Palma",7.9,"P","Ted Prigge","cv750_10180.txt","http://www.imdb.com/title/tt0106519/"
"Amarcord",1973,"Federico Fellini",8,"P","Dragan Antulov","cv286_25050.txt","http://www.imdb.com/title/tt0071129/"
"El secreto von Bulow",1990,"Barbet Schroeder",7.3,"P","Sridhar Prasad","cv808_12635.txt","http://www.imdb.com/title/tt0100486/"
"Halloween",1978,"John Carpenter",7.8,"P","Brandon Herring ","cv406_21020.txt","http://www.imdb.com/title/tt0077651/"
"La caza al Octubre Rojo",1990,"John McTiernan",7.6,"P","Randy Parker","cv452_5088.txt","http://www.imdb.com/title/tt0099810/"
"Kundun",1997,"Martin Scorsese",7,"P","Marty Mapes","cv975_10981.txt","http://www.imdb.com/title/tt0119485/"
"Hideous Kinky",1998,"Gillies MacKinnon",6.1,"P","Dennis Schwartz","cv807_21740.txt","http://www.imdb.com/title/tt0136244/"
"Boiler Room",2000,"Ben Younger",7,"P","Lars Lindahl","cv281_23253.txt","http://www.imdb.com/title/tt0181984/"
"Tenebrae, el placer del miedo",1982,"Dario Argento",7.2,"P","Mike Watson","cv105_17990.txt","http://www.imdb.com/title/tt0084777/"
"Living Out Loud",1998,"Richard LaGravenese",6.6,"P","Dustin Putman","cv276_15684.txt","http://www.imdb.com/title/tt0120722/"
"Los Expedientes X: La película",1998,"Rob Bowman",7,"P","Matthew Brissette","cv383_13116.txt","http://www.imdb.com/title/tt0120902/"
"La sirenita",1989,"Ron Clements",7.6,"P","Alex Fung","cv163_10052.txt","http://www.imdb.com/title/tt0097757/"
"Intimidad",2001,"Patrice Chéreau",6.2,"P","Jeremiah Kipp","cv409_29786.txt","http://www.imdb.com/title/tt0256103/"
"Unzipped",1995,"Douglas Keeve",6.4,"P","James Berardinelli","cv035_3954.txt","http://www.imdb.com/title/tt0114805/"
"Shaft",2000,"John Singleton",5.9,"P","Michael Dequina","cv955_25001.txt","http://www.imdb.com/title/tt0162650/"
"Boxer: Golpe a la vida",1997,"Jim Sheridan",7.1,"P","Ted Prigge","cv358_10691.txt","http://www.imdb.com/title/tt0118760/"
"Los muppets",1979,"James Frawley",7.6,"P","David Landers","cv292_7282.txt","http://www.imdb.com/title/tt0079588/"
"Apocalipsis",1979,"Francis Ford Coppola",8.5,"P","David Landers","cv481_7436.txt","http://www.imdb.com/title/tt0078788/"
"El chofer y la señora Daisy",1989,"Bruce Beresford",7.4,"P","Randy Parker","cv809_5009.txt","http://www.imdb.com/title/tt0097239/"
"El sexto sentido",1999,"M. Night Shyamalan",8.1,"P","Christian Pyle","cv234_20643.txt","http://www.imdb.com/title/tt0167404/"
"¡Marcianos al ataque!",1996,"Tim Burton",6.3,"P","Chuck Dowling","cv813_6534.txt","http://www.imdb.com/title/tt0116996/"
"Estudio 54",1998,"Mark Christopher",5.8,"P","Jamie Peck","cv578_15094.txt","http://www.imdb.com/title/tt0120577/"
"Austin Powers: El espía seductor",1999,"Jay Roach",6.6,"P","John Sylva","cv858_18819.txt","http://www.imdb.com/title/tt0145660/"
"Stuart Saves His Family",1995,"Harold Ramis",5.3,"P","Laurence Mixson","cv176_12857.txt","http://www.imdb.com/title/tt0114571/"
"Pi, el orden del caos",1998,"Darren Aronofsky",7.4,"P","Alex Fung","cv248_13987.txt","http://www.imdb.com/title/tt0138704/"
"Deuce Bigalow: Male Gigolo",1999,"Mike Mitchell",5.7,"P","Brandon Herring ","cv574_22156.txt","http://www.imdb.com/title/tt0205000/"
"Chucky, el muñeco diabólico",1988,"Tom Holland",6.6,"P","Matt Prigge","cv636_15279.txt","http://www.imdb.com/title/tt0094862/"
"007: El mañana nunca muere",1997,"Roger Spottiswoode",6.5,"P","Bill Chambers","cv474_10209.txt","http://www.imdb.com/title/tt0120347/"
"Blues Brothers 2000",1998,"John Landis",4.8,"P","Andrew Cunningham","cv082_11080.txt","http://www.imdb.com/title/tt0118747/"
"El gran Lebowski",1998,"Joel Coen",8.2,"P","James Kendrick","cv294_11684.txt","http://www.imdb.com/title/tt0118715/"
"Las reglas de la vida",1999,"Lasse Hallström",7.4,"P","Michael Elliott","cv142_22516.txt","http://www.imdb.com/title/tt0124315/"
"La delgada línea roja",1998,"Terrence Malick",7.6,"P","Craig Roush","cv530_16212.txt","http://www.imdb.com/title/tt0120863/"
"El abogado del Diablo",1997,"Taylor Hackford",7.5,"P","Boyd Petrie","cv922_10073.txt","http://www.imdb.com/title/tt0118971/"
"Aulas peligrosas",1998,"Robert Rodriguez",6.5,"P","Dustin Putman","cv794_15868.txt","http://www.imdb.com/title/tt0133751/"
"Mejor... Imposible",1997,"James L. Brooks",7.7,"P","Michael Redman","cv658_10532.txt","http://www.imdb.com/title/tt0119822/"
"Ging chaat goo si 4: Ji gaan daan yam mo",1996,"Stanley Tong",6.6,"P","Phil Curtolo","cv424_8831.txt","http://www.imdb.com/title/tt0116704/"
"A primera vista",1999,"Irwin Winkler",5.9,"P","Dustin Putman","cv332_16307.txt","http://www.imdb.com/title/tt0132512/"
"Boiler Room",2000,"Ben Younger",7,"P","Ron Small","cv673_24714.txt","http://www.imdb.com/title/tt0181984/"
"Mis pequeños inquilinos",1997,"Peter Hewitt",5.8,"P","Matt Williams","cv705_11059.txt","http://www.imdb.com/title/tt0118755/"
"Baby Snakes",1979,"Frank Zappa",8,"P","Dan R. Priebe","cv280_8267.txt","http://www.imdb.com/title/tt0078820/"
"Happy Accidents",2000,"Brad Anderson",7.3,"P","Jeremiah Kipp","cv856_29013.txt","http://www.imdb.com/title/tt0208196/"
"High Art",1998,"Lisa Cholodenko",6.7,"P","Dustin Putman","cv989_15824.txt","http://www.imdb.com/title/tt0139362/"
"The Education of Little Tree",1997,"Richard Friedenberg",7.3,"P","David Sunga","cv416_11136.txt","http://www.imdb.com/title/tt0119052/"
"La noche del cazador",1955,"Charles Laughton",8,"P","Pete Croatto","cv583_29692.txt","http://www.imdb.com/title/tt0048424/"
"Vaselina",1978,"Randal Kleiser",7.2,"P","Bob Bloom","cv840_16321.txt","http://www.imdb.com/title/tt0077631/"
"Tampopo",1985,"Jûzô Itami",7.9,"P","Brian Takeshita","cv060_10844.txt","http://www.imdb.com/title/tt0092048/"
"Permanent Midnight",1998,"David Veloz",6.3,"P","David N. Butterworth","cv019_14482.txt","http://www.imdb.com/title/tt0120788/"
"El fugitivo",1993,"Andrew Davis",7.8,"P","Mark Stantz","cv454_2053.txt","http://www.imdb.com/title/tt0106977/"
"La momia",1999,"Stephen Sommers",7,"P","DeWyNGaLe","cv654_18246.txt","http://www.imdb.com/title/tt0120616/"
"Titanic",1997,"James Cameron",7.8,"P","Brian Takeshita","cv453_10379.txt","http://www.imdb.com/title/tt0120338/"
"Simplemente sangre",1984,"Joel Coen",7.7,"P","Kevin Patterson","cv651_10492.txt","http://www.imdb.com/title/tt0086979/"
"La célula",2000,"Tarsem Singh",6.3,"P","Brian Matherly","cv467_25773.txt","http://www.imdb.com/title/tt0209958/"
"Doble riesgo",1999,"Bruce Beresford",6.4,"P","Eugene Novikov","cv978_20929.txt","http://www.imdb.com/title/tt0150377/"
"Amistad",1997,"Steven Spielberg",7.3,"P","Sridhar Prasad","cv762_13927.txt","http://www.imdb.com/title/tt0118607/"
"Matrix",1999,"Lana Wachowski",8.7,"P","Robert Workman","cv348_18176.txt","http://www.imdb.com/title/tt0133093/"
"The Last Days of Disco",1998,"Whit Stillman",6.6,"P","David Wilcock","cv959_14611.txt","http://www.imdb.com/title/tt0120728/"
"La stanza del figlio",2001,"Nanni Moretti",7.4,"P","Rachel Gordon","cv880_29800.txt","http://www.imdb.com/title/tt0208990/"
"El príncipe de Egipto",1998,"Brenda Chapman",7,"P","Steve Rhodes","cv468_15228.txt","http://www.imdb.com/title/tt0120794/"
"La vida sin limites",1999,"Doug Liman",7.3,"P","Chad Polenz","cv812_17924.txt","http://www.imdb.com/title/tt0139239/"
"Corre, Lola, corre",1998,"Tom Tykwer",7.7,"P","Jamey Hughton","cv710_22577.txt","http://www.imdb.com/title/tt0130827/"
"Sexo, mentiras y video",1989,"Steven Soderbergh",7.2,"P","Dustin Putman","cv547_16324.txt","http://www.imdb.com/title/tt0098724/"
"Roommates",1995,"Peter Yates",6.4,"P","Andrew Hicks","cv664_4389.txt","http://www.imdb.com/title/tt0114296/"
"The Last Days of Disco",1998,"Whit Stillman",6.6,"P","David N. Butterworth","cv984_12767.txt","http://www.imdb.com/title/tt0120728/"
"Una acción civil",1998,"Steven Zaillian",6.5,"P","Matt Prigge","cv560_17175.txt","http://www.imdb.com/title/tt0120633/"
"Aliens, el regreso",1986,"James Cameron",8.4,"P","Laurence Mixson","cv486_9799.txt","http://www.imdb.com/title/tt0090605/"
"Chocolate",2000,"Lasse Hallström",7.3,"P","John Sylva","cv837_27325.txt","http://www.imdb.com/title/tt0241303/"
"Eclipse total",1995,"Taylor Hackford",7.4,"P","Alex Fung","cv239_3385.txt","http://www.imdb.com/title/tt0109642/"
"Lancelot du Lac",1974,"Robert Bresson",7.1,"P","James Kendrick","cv956_11609.txt","http://www.imdb.com/title/tt0071737/"
"El cocodrilo",1999,"Steve Miner",5.6,"P","Brandon Herring ","cv443_21118.txt","http://www.imdb.com/title/tt0139414/"
"Last Night",1998,"Don McKellar",7.3,"P","Mark R. Leeper","cv418_14774.txt","http://www.imdb.com/title/tt0156729/"
"Claroscuro",1996,"Scott Hicks",7.7,"P","David Sidwell","cv228_5806.txt","http://www.imdb.com/title/tt0117631/"
"Alien³",1992,"David Fincher",6.4,"P","Mark Santora (Mark Santora)","cv085_1381.txt","http://www.imdb.com/title/tt0103644/"
"La edad de la inocencia",1993,"Martin Scorsese",7.2,"P","Sridhar Prasad","cv916_15467.txt","http://www.imdb.com/title/tt0106226/"
"Criaturas salvajes",1998,"John McNaughton",6.5,"P","Boyd Petrie","cv501_11657.txt","http://www.imdb.com/title/tt0120890/"
"Mente indomable",1997,"Gus Van Sant",8.3,"P","Marty Mapes","cv042_10982.txt","http://www.imdb.com/title/tt0119217/"
"Un ángel enamorado",1998,"Brad Silberling",6.7,"P","James Kendrick","cv945_12160.txt","http://www.imdb.com/title/tt0120632/"
"El mediador",1998,"F. Gary Gray",7.3,"P","Brian Takeshita","cv014_13924.txt","http://www.imdb.com/title/tt0120768/"
"Star wars: Episodio I - La amenaza fantasma",1999,"George Lucas",6.5,"P","Tim Voon","cv272_18974.txt","http://www.imdb.com/title/tt0120915/"
"City Slickers II: The Legend of Curly's Gold",1994,"Paul Weiland",5.5,"P","Hiroshi Saito","cv226_2618.txt","http://www.imdb.com/title/tt0109439/"
"Viaje a las estrellas: Insurrección",1998,"Jonathan Frakes",6.4,"P","Justin Felix","cv606_15985.txt","http://www.imdb.com/title/tt0120844/"
"Rescatando al soldado Ryan",1998,"Steven Spielberg",8.6,"P","Sridhar Prasad","cv998_14111.txt","http://www.imdb.com/title/tt0120815/"
"Star wars: Episodio I - La amenaza fantasma",1999,"George Lucas",6.5,"P","Jamey Hughton","cv714_18502.txt","http://www.imdb.com/title/tt0120915/"
"Hearts in Atlantis",2001,"Scott Hicks",6.9,"P","Shannon Patrick Sullivan","cv012_29576.txt","http://www.imdb.com/title/tt0252501/"
"Corazón valiente",1995,"Mel Gibson",8.4,"P","Rui Sadio","cv671_5054.txt","http://www.imdb.com/title/tt0112573/"
"Arma mortal 4",1998,"Richard Donner",6.6,"P","Homer Yen","cv080_13465.txt","http://www.imdb.com/title/tt0122151/"
"Lobos, criaturas del diablo",1984,"Neil Jordan",6.7,"P","David Dalgleish","cv357_13156.txt","http://www.imdb.com/title/tt0087075/"
"Your Friends & Neighbors",1998,"Neil LaBute",6.4,"P","Ryan Davis","cv763_14729.txt","http://www.imdb.com/title/tt0119517/"
"The Big Hit",1998,"Kirk Wong",6.1,"P","Josh Hammonds","cv214_12294.txt","http://www.imdb.com/title/tt0120609/"
"Larry Flint: El nombre del escándalo",1996,"Milos Forman",7.3,"P","Edward Johnson-Ott","cv635_10022.txt","http://www.imdb.com/title/tt0117318/"
"Analízame",1999,"Harold Ramis",6.7,"P","David Wilcock","cv243_20728.txt","http://www.imdb.com/title/tt0122933/"
"La guerra de las galaxias",1977,"George Lucas",8.6,"P","Phil Curtolo","cv824_8838.txt","http://www.imdb.com/title/tt0076759/"
"El honor de los Winslow",1999,"David Mamet",7.4,"P","Eugene Novikov","cv466_18722.txt","http://www.imdb.com/title/tt0155388/"
"Mr In-Between",2001,"Paul Sarossy",6.4,"P","Mark R. Leeper","cv323_29805.txt","http://www.imdb.com/title/tt0280962/"
"Seven, los siete pecados capitales",1995,"David Fincher",8.6,"P","Ryan Ellis","cv929_16908.txt","http://www.imdb.com/title/tt0114369/"
"El mensajero",1997,"Kevin Costner",6,"P","Christian Pyle","cv919_16380.txt","http://www.imdb.com/title/tt0119925/"
"Robocop, el defensor del futuro",1987,"Paul Verhoeven",7.5,"P","Randy Parker","cv781_5262.txt","http://www.imdb.com/title/tt0093870/"
"Ecos mortales",1999,"David Koepp",7,"P","Dustin Putman","cv910_20488.txt","http://www.imdb.com/title/tt0164181/"
"Baby Boy",2001,"John Singleton",6.4,"P","JoBlo","cv679_28559.txt","http://www.imdb.com/title/tt0255819/"
"Lolita: Una pasión prohibida",1997,"Adrian Lyne",6.9,"P","Matt Prigge","cv506_15956.txt","http://www.imdb.com/title/tt0119558/"
"Un ángel enamorado",1998,"Brad Silberling",6.7,"P","Nathaniel R. Atcheson","cv868_11948.txt","http://www.imdb.com/title/tt0120632/"
"South Park: Más grande, más larga y sin censura",1999,"Trey Parker",7.8,"P","Brandon Herring ","cv339_21119.txt","http://www.imdb.com/title/tt0158983/"
"El negociador",1997,"Thomas Carter",5.5,"P","Jason Bacon","cv564_11110.txt","http://www.imdb.com/title/tt0119664/"
"I Love Trouble",1994,"Charles Shyer",5.2,"P","Cindy Bale","cv184_2673.txt","http://www.imdb.com/title/tt0110093/"
"Mulan",1998,"Tony Bancroft",7.6,"P","David N. Butterworth","cv056_13133.txt","http://www.imdb.com/title/tt0120762/"
"Mente indomable",1997,"Gus Van Sant",8.3,"P","Jason Cline","cv768_11751.txt","http://www.imdb.com/title/tt0119217/"
"La leyenda del jinete sin cabeza",1999,"Tim Burton",7.4,"P","Jamey Hughton","cv379_21963.txt","http://www.imdb.com/title/tt0162661/"
"Your Friends & Neighbors",1998,"Neil LaBute",6.4,"P","Chad Polenz","cv701_14252.txt","http://www.imdb.com/title/tt0119517/"
"Jamás besada",1999,"Raja Gosnell",6,"P","Tim Voon","cv835_19159.txt","http://www.imdb.com/title/tt0151738/"
"The Endurance: Shackleton's Legendary Antarctic Expedition",2000,"George Butler",7.9,"P","Robin Clifford","cv558_29507.txt","http://www.imdb.com/title/tt0264578/"
"Edtv",1999,"Ron Howard",6.1,"P","David N. Butterworth","cv940_17705.txt","http://www.imdb.com/title/tt0131369/"
"Retrato de una dama",1996,"Jane Campion",6.3,"P","Eric Robinette","cv963_6895.txt","http://www.imdb.com/title/tt0117364/"
"Buenos muchachos",1990,"Martin Scorsese",8.7,"P","Dragan Antulov","cv027_25219.txt","http://www.imdb.com/title/tt0099685/"
"Tarzán",1999,"Chris Buck",7.2,"P","Brian Takeshita","cv284_19119.txt","http://www.imdb.com/title/tt0120855/"
"Enemigo al acecho",2001,"Jean-Jacques Annaud",7.6,"P","Frankie Paiva","cv643_29349.txt","http://www.imdb.com/title/tt0215750/"
"Toro salvaje",1980,"Martin Scorsese",8.2,"P","James Berardinelli","cv505_12090.txt","http://www.imdb.com/title/tt0081398/"
"L'anglaise et le duc",2001,"Éric Rohmer",7,"P","Jeremiah Kipp","cv866_29691.txt","http://www.imdb.com/title/tt0239234/"
"El quinto elemento",1997,"Luc Besson",7.7,"P","Mathew Tschirgi","cv901_11017.txt","http://www.imdb.com/title/tt0119116/"
"Lo que el viento se llevó",1939,"Victor Fleming",8.2,"P","Chad Polenz","cv862_14324.txt","http://www.imdb.com/title/tt0031381/"
"Los telelocos",1989,"Jay Levey",7,"P","Randy Parker","cv720_5389.txt","http://www.imdb.com/title/tt0098546/"
"Scream: grita antes de morir",1996,"Wes Craven",7.2,"P","Chris Casino","cv354_8132.txt","http://www.imdb.com/title/tt0117571/"
"El asalto",2000,"Marek Kanievska",6.3,"P","Homer Yen","cv088_24113.txt","http://www.imdb.com/title/tt0149367/"
"Terminator",1984,"James Cameron",8,"P","Sean Siska","cv650_14340.txt","http://www.imdb.com/title/tt0088247/"
"Impacto profundo",1998,"Mimi Leder",6.1,"P","Choo Eng Aun, Jack","cv944_13521.txt","http://www.imdb.com/title/tt0120647/"
"Hedwig and the Angry Inch",2001,"John Cameron Mitchell",7.8,"P","Robin Clifford","cv905_29114.txt","http://www.imdb.com/title/tt0248845/"
"U-571: La batalla del Atlántico",2000,"Jonathan Mostow",6.6,"P","Chuck Dowling","cv227_24215.txt","http://www.imdb.com/title/tt0141926/"
"Gattaca: Experimento genético",1997,"Andrew Niccol",7.8,"P","Ted Prigge","cv634_11101.txt","http://www.imdb.com/title/tt0119177/"
"Los Ángeles al desnudo",1997,"Curtis Hanson",8.3,"P","Jeff Walters","cv625_12440.txt","http://www.imdb.com/title/tt0119488/"
"Muertos de miedo",1996,"Peter Jackson",7.1,"P","Larry Mcgillicuddy","cv912_5674.txt","http://www.imdb.com/title/tt0116365/"
"Fuerzas de la naturaleza",1999,"Bronwen Hughes",5.4,"P","Scott Renshaw","cv121_17302.txt","http://www.imdb.com/title/tt0141098/"
