Localidad	Población.total	Viviendas particulares habitadas	Población de 15 años o más analfabeta	Población de 15 años o más sin primaria completa	Viviendas particulares habitadas sin excusado	Viviendas particulares habitadas sin energía eléctrica	Viviendas particulares habitadas sin disponibilidad de agua entubada	Promedio de ocupantes por cuarto en viviendas particulares habitadas	Viviendas particulares habitadas con piso de tierra	Viviendas particulares habitadas que no disponen de refrigerador	Índice de marginación	Grado de marginación	"Índice de marginación escala 
0 a 100"	Lugar que ocupa en el contexto nacional	Lugar que ocupa en el contexto  estatal
El Jabalí	7	3	25	100	33.33	33.33	66.67	0.54	0	33.33	0.3754	Alto	17.6324	 31 195	204
Las Jarillas	157	37	14	45.36	2.7	5.41	100	1.13	2.7	10.81	-0.502	Alto	10.6666	 68 059	754
El Jarro	107	32	10.71	39.02	9.38	9.38	7.14	0.97	3.13	18.75	-0.8342	Medio	8.0298	 85 839	 1 187
Jesús María de Berrones	208	50	13.48	44.68	16	6	14	1.35	28	48	-0.2515	Alto	12.6553	 55 378	500
Jesús María y el Salto	211	41	12.59	40.43	2.44	0	100	1.4	9.76	34.15	-0.3397	Alto	11.9552	 59 564	578
La Joya del Orégano	35	8	4	22.73	12.5	12.5	100	1.25	0	12.5	-0.7252	Alto	8.8944	 79 954	 1 014
Lagunita de Castillo	415	97	12.69	40	18.56	1.04	100	1.31	9.38	28.87	-0.3016	Alto	12.2574	 57 810	543
Lagunita y Ranchos Nuevos	86	23	19.67	46.67	21.74	4.35	100	1.05	13.04	34.78	-0.1195	Alto	13.7036	 49 475	409
La Lagunita	92	26	17.74	41.67	46.15	19.23	100	1.44	19.23	30.77	0.1662	Alto	15.9714	 38 114	279
La Lajita	175	49	13.64	41.22	8.16	2.04	2.04	0.88	2.04	16.33	-0.8916	Medio	7.5738	 88 792	 1 292
El Leoncito	50	18	30.95	71.43	66.67	11.11	100	0.83	16.67	55.56	0.66	Alto	19.8914	 23 678	133
La Lobera de Loera	8	3	12.5	87.5	33.33	66.67	100	0.89	0	100	0.9088	Muy alto	21.8669	 18 393	98
La Lobera de Portillo	136	29	8.24	50	3.45	6.9	37.93	1.53	3.45	27.59	-0.4985	Alto	10.6942	 67 871	745
Entronque los Medina (La Loma)	385	84	8.85	18.96	7.14	7.14	27.38	1.12	4.76	10.71	-1.0137	Medio	6.6045	 94 452	 1 471
La Luz de Tebaida	30	8	15.79	52.63	12.5	62.5	100	1.25	0	100	0.5568	Alto	19.0723	 26 217	158
El Llano	11	4	44.44	66.67	25	0	100	0.85	0	50	0.3271	Alto	17.2488	 32 728	219
Madrugadores	39	8	3.23	41.38	12.5	0	0	1.56	0	12.5	-0.8654	Medio	7.7814	 87 466	 1 248
Los Medina	597	160	15.95	36.14	10	2.5	17.5	0.97	5	15.63	-0.8088	Alto	8.2311	 84 477	 1 143
Mesa de González	110	33	8.33	50	12.12	0	100	0.92	21.21	21.21	-0.3724	Alto	11.6958	 61 224	617
Mesa del Traidor	313	68	17.8	48.92	22.06	2.94	100	1.43	8.96	41.18	-0.013	Alto	14.5487	 44 966	353
El Milagro	73	18	6	28	5.56	0	100	0.99	0	11.11	-0.8454	Medio	7.9403	 86 435	 1 212
El Mirador	7	3	16.67	50	100	100	100	0.88	33.33	100	1.4118	Muy alto	25.8602	 10 868	36
Nueva Rosita	16	5	38.46	69.23	40	0	100	1.14	80	80	1.1777	Muy alto	24.0018	 13 902	58
El Ojo de Agua	28	5	18.75	50	60	0	40	1.65	0	100	0.3732	Alto	17.6147	 31 256	206
Palma Gorda	340	82	18.47	49.55	6.1	2.44	100	1.51	17.07	71.95	0.1697	Alto	15.9993	 37 983	278
Panalillos	50	8	25	41.67	0	0	100	2	37.5	12.5	0.0378	Alto	14.9517	 42 927	324
Panales de Arriba	395	77	12	37.9	40.26	2.6	5.19	1.86	18.18	53.25	-0.1418	Alto	13.5266	 50 444	422
El Pequeño	114	34	16.85	55.06	55.88	0	100	0.85	11.76	26.47	-0.0139	Alto	14.542	 45 007	355
El Pineño	46	15	37.5	62.5	20	0	13.33	1.1	13.33	13.33	-0.1708	Alto	13.2963	 51 716	447
El Pocito	130	29	17.44	50	31.03	3.45	100	1.18	24.14	27.59	0.0026	Alto	14.6728	 44 332	340
Pompeya	206	41	17.39	53.04	19.51	5.13	7.32	1.65	4.88	39.02	-0.2583	Alto	12.6013	 55 698	506
Presa de Guadalupe	50	16	13.51	48.57	6.25	0	100	0.86	0	6.25	-0.6093	Alto	9.8152	 73 733	870
Presa de Maltos	495	135	31.25	55.36	5.93	11.94	74.63	1.2	6.72	47.41	0.0581	Alto	15.113	 42 147	315
La Presa de Quintero	78	20	25	57.45	35	0	95	1.37	25	40	0.2893	Alto	16.9483	 33 897	233
Presa San Antonio	103	27	6.85	42.47	3.7	3.7	100	1.08	0	14.81	-0.6327	Alto	9.6289	 74 993	905
Presa de San Carlos	332	64	34.9	61.26	14.06	4.76	100	1.6	4.69	43.75	0.3197	Alto	17.1902	 32 944	221
La Presita de Macías	46	10	12.12	30.3	40	10	100	1.31	20	30	-0.1441	Alto	13.5078	 50 549	424
La Presita de Rueda	90	28	25.35	63.24	10.71	3.57	3.57	1	25	42.86	-0.1467	Alto	13.4873	 50 654	426
Puerta de Aguilar	68	17	11.9	33.33	5.88	5.88	100	1.31	0	17.65	-0.5536	Alto	10.2568	 70 779	810
Puerto de Dolores	194	50	16.67	38.93	14	4	100	1.19	4	24	-0.37	Alto	11.7146	 61 111	612
Puerto del Aire	477	110	23.55	52.26	13.64	2.73	100	1.32	2.73	46.36	-0.0002	Alto	14.6501	 44 439	343
San José del Puerto	23	7	5.26	31.58	14.29	0	0	0.74	14.29	0	-1.1277	Bajo	5.6995	 99 040	 1 646
Santa Teresa (Don Jesús)	57	13	3.03	42.42	0	7.69	0	1.84	30.77	61.54	-0.297	Alto	12.2943	 57 559	539
Santa Teresa de San Juan (Rancho de Juana)	11	3	12.5	37.5	66.67	66.67	100	1.57	33.33	100	1.0246	Muy alto	22.7857	 16 322	81
Rancho Largo	115	29	4.05	36.62	0	0	3.45	1.16	24.14	27.59	-0.8152	Medio	8.1801	 84 834	 1 157
La Reforma	40	10	6.45	38.71	0	0	100	1.03	0	20	-0.7016	Alto	9.0825	 78 689	983
El Refugio de Apanico	48	12	11.11	44.44	58.33	0	83.33	1.45	0	41.67	-0.055	Alto	14.2151	 46 682	370
El Refugio de las Viejas	53	10	8.82	36.36	20	0	0	1.56	0	20	-0.756	Alto	8.65	 81 677	 1 068
El Refugio de Cedillo	186	58	25.18	63.31	8.62	1.72	98.28	0.89	15.52	20.69	-0.0963	Alto	13.8871	 48 468	392
El Refugio y el Reparo	209	54	12.24	46.26	14.81	3.7	3.7	1.27	11.11	38.89	-0.4991	Alto	10.6897	 67 901	746
El Represadero	105	30	18.52	41.77	16.67	10	100	0.97	10	30	-0.2486	Alto	12.6787	 55 237	497
Rinconada de Martínez (San José de Rinconada)	22	6	5.26	47.37	0	0	66.67	0.79	0	0	-0.9249	Medio	7.3093	 90 421	 1 348
El Rucio	162	41	10.17	58.47	31.71	4.88	100	1.03	4.88	39.02	-0.0963	Alto	13.8872	 48 467	391
Los Saldaña (Santa Rita de los Saldaña)	18	6	13.33	28.57	0	0	100	0.69	16.67	16.67	-0.7139	Alto	8.9845	 79 358	999
San Agustín de Valdez	79	20	7.84	41.18	10	5	100	1.34	15	35	-0.2916	Alto	12.3367	 57 281	534
San Antonio de Peña Nevada	417	97	22.45	51.2	2.06	4.17	6.19	1.28	10.31	49.48	-0.3248	Alto	12.0736	 58 875	560
San Blas	34	7	3.85	42.31	0	0	100	1.48	0	14.29	-0.6102	Alto	9.8081	 73 781	872
San Cayetano de Vacas	504	117	14.07	33.23	11.11	3.42	17.95	1.2	9.4	25.64	-0.6936	Alto	9.1458	 78 279	974
San Diego	8	3	20	100	0	33.33	100	1.14	0	66.67	0.5922	Alto	19.3534	 25 292	152
San Felipe	18	4	10	20	100	0	100	1.29	50	50	0.3373	Alto	17.3299	 32 401	217
San Felipe	89	21	12.07	34.48	19.05	9.52	100	1.41	14.29	47.62	-0.1337	Alto	13.5902	 50 104	417
San Francisco del Yugo	72	17	13.21	45.28	5.88	5.88	100	1.24	11.76	35.29	-0.2504	Alto	12.6639	 55 320	499
San Francisco de Zúñiga	30	9	20.69	35.71	55.56	0	100	0.86	0	33.33	-0.1958	Alto	13.0974	 52 868	463
San Gregorio	89	25	3.17	47.46	4	0	100	1.06	0	12	-0.673	Alto	9.309	 77 220	949
San Ignacio de Torres	191	42	11.54	38.76	4.76	0	100	1.58	12.5	30.95	-0.307	Alto	12.2151	 58 041	546
San Isidro de Fernández	194	48	12.41	38.97	4.17	0	10.87	1.24	2.17	22.92	-0.7974	Alto	8.3215	 83 870	 1 132
San Joaquín	62	16	8.89	50	0	0	100	1.24	6.25	6.25	-0.5423	Alto	10.3468	 70 210	797
San José de Flores	121	27	18.68	45.98	0	3.7	3.7	1.15	3.7	18.52	-0.7149	Alto	8.9765	 79 421	 1 002
San José del Palmar (El Pachón)	71	15	12.77	39.13	26.67	0	100	1.12	6.67	20	-0.3928	Alto	11.5337	 62 307	635
San José del Sitio	107	27	18.75	48.75	7.41	3.7	100	1.08	14.81	25.93	-0.231	Alto	12.8184	 54 449	480
San José y la Pinta	49	16	33.33	56.41	6.25	6.25	100	0.94	0	43.75	0.0034	Alto	14.6786	 44 304	338
San Juan de la Cruz	410	105	21.72	51.91	1.9	6.67	5.71	1.14	6.67	23.81	-0.5327	Alto	10.4233	 69 713	789
San Juan del Palmar	405	105	28.99	52.01	4.76	4.85	98.08	0.99	4.81	29.52	-0.1572	Alto	13.4042	 51 138	437
San Juanito	110	26	24.42	55.29	30.77	3.85	100	1.22	23.08	46.15	0.259	Alto	16.7083	 34 913	244
San Mateo	31	7	21.43	64.29	14.29	14.29	0	0.86	14.29	14.29	-0.3949	Alto	11.5171	 62 416	637
San Miguel de los Aguirre	53	18	28.26	68.89	22.22	0	100	0.93	5.56	16.67	-0.0109	Alto	14.5658	 44 862	350
San Miguelito	48	17	17.14	50	0	0	100	0.66	0	17.65	-0.5718	Alto	10.1123	 71 770	822
San Pablo de Rueda	176	47	19.84	51.59	4.26	0	100	1.14	23.4	38.3	-0.08	Alto	14.0167	 47 770	384
San Pedro de Nolasco	25	9	15	55	0	11.11	100	0.86	0	22.22	-0.398	Alto	11.492	 62 568	639
San Pedro de González (San Pedro de Rueda)	448	109	16.78	51.97	10.09	7.41	33.33	1.1	7.41	25.69	-0.4471	Alto	11.1029	 65 149	696
San Rafael y la Cecilia	17	4	35.71	50	50	25	100	1.13	50	25	0.6237	Alto	19.6036	 24 512	144
San Ramón de los Martínez	543	161	16.2	50.13	5.59	2.48	100	0.84	5.59	17.39	-0.4483	Alto	11.0932	 65 190	697
San Vicente de Rueda	85	19	30.19	40.38	10.53	10.53	21.05	1.31	21.05	57.89	-0.0652	Alto	14.134	 47 147	380
San Vicente de González	99	26	7.46	46.27	7.69	7.69	100	0.93	11.54	19.23	-0.4743	Alto	10.887	 66 568	722
San Vicente de la Puerta	173	47	24.8	50.4	4.26	6.38	12.77	1.07	8.51	36.17	-0.4061	Alto	11.4283	 62 990	651
Santa Ana	375	101	11.68	38.13	5.94	0.99	17.82	0.95	1.98	9.9	-0.9354	Medio	7.2264	 90 915	 1 367
Santa Fe del Hueso (El Hueso)	16	4	0	53.85	0	100	25	1.23	0	100	0.284	Alto	16.9062	 34 076	235
Santa Gertrudis	235	57	10.84	43.37	8.77	1.75	19.3	1.11	7.02	21.05	-0.7221	Alto	8.9198	 79 800	 1 011
Santa Isabel	132	33	19.77	39.53	36.36	0	100	1.28	6.06	27.27	-0.1613	Alto	13.3711	 51 306	439
Santa Lucía	114	30	18.07	55.42	23.33	16.67	10	1.12	20	43.33	-0.1384	Alto	13.5529	 50 316	420
Santa Margarita	112	24	22.39	47.76	8.33	0	100	1.14	16.67	45.83	-0.0631	Alto	14.1507	 47 051	378
Santa María	176	43	1.49	35.07	2.33	2.33	100	1.17	2.33	9.3	-0.7819	Alto	8.4443	 83 099	 1 113
Santa Mónica	5	3	60	80	33.33	33.33	0	0.63	33.33	66.67	0.8566	Muy alto	21.4522	 19 404	104
Santa Rita	483	85	21.36	43.26	12.94	5.88	100	1.69	11.76	34.12	-0.0116	Alto	14.5598	 44 899	352
Santa Rosa	63	14	23.4	41.86	7.14	0	100	1.15	7.14	21.43	-0.3264	Alto	12.0608	 58 936	564
Santa Teresa y San Jerónimo	93	24	20	44.29	16.67	4.17	100	1.04	0	16.67	-0.3719	Alto	11.6994	 61 207	615
La Soledad de Ríos	17	3	18.18	36.36	66.67	0	0	1.89	100	100	0.8967	Muy alto	21.7709	 18 615	99
El Tajo	88	24	11.59	44.62	8.33	4.17	100	1	8.33	12.5	-0.5008	Alto	10.6762	 67 994	750
Tanquecillos	156	34	6.12	40.21	5.88	0	11.76	1.31	2.94	14.71	-0.8761	Medio	7.6965	 88 012	 1 265
La Tapona de Camarillo	403	89	18.32	48.62	8.99	0	100	1.22	3.41	10.11	-0.3875	Alto	11.5754	 62 060	630
La Tapona de Morales	16	6	23.08	58.33	16.67	0	100	0.7	16.67	33.33	-0.0975	Alto	13.8776	 48 521	393
El Tecolote	241	65	16.09	47.67	12.31	4.62	16.92	1.05	6.15	15.38	-0.64	Alto	9.5709	 75 383	910
El Tepetate	40	9	10.71	42.86	22.22	11.11	100	1.18	0	44.44	-0.2203	Alto	12.9034	 53 966	473
La Trinidad de Molina	9	3	14.29	57.14	66.67	100	100	1.29	33.33	100	1.3708	Muy alto	25.5344	 11 339	42
La Trinidad de Zúñiga	22	6	15.79	52.63	33.33	0	100	1.38	33.33	33.33	0.1529	Alto	15.8658	 38 581	284
La Unión y el Cardonal	473	119	9.57	45.63	3.36	4.2	21.85	1.04	9.24	31.93	-0.6618	Alto	9.3984	 76 597	938
La Vallejeña	13	4	37.5	75	25	0	100	1.44	0	100	0.7867	Muy alto	20.8971	 20 818	111
Las Vírgenes	91	18	7.81	26.56	16.67	0	22.22	1.38	11.11	22.22	-0.7724	Alto	8.52	 82 560	 1 099
La Yerba	773	179	16.27	44.29	16.76	3.35	22.91	1.31	4.47	38.55	-0.4342	Alto	11.2046	 64 469	680
La Zorra	42	14	17.65	52.94	14.29	0	57.14	0.86	7.14	7.14	-0.5511	Alto	10.2771	 70 657	805
Emiliano Zapata	45	9	7.41	50	0	11.11	100	1.45	0	33.33	-0.3138	Alto	12.1612	 58 347	552
Vallecillos	52	14	15	52.5	57.14	57.14	100	1.16	0	92.86	0.7044	Alto	20.2437	 22 626	126
San Diego (San Diego de Vacas)	77	18	10.64	44.68	33.33	11.11	100	1.31	5.56	38.89	-0.0983	Alto	13.8714	 48 557	394
San Esteban	17	5	23.08	69.23	60	80	100	1	20	80	1.1451	Muy alto	23.7426	 14 391	60
San Felipe de Martínez	51	9	6.06	33.33	33.33	0	100	1.55	11.11	77.78	0.0029	Alto	14.6754	 44 324	339
El Salto	65	16	5	45	6.25	0	100	1.27	6.25	31.25	-0.4444	Alto	11.1243	 65 009	693
El Desierto	24	5	0	21.05	20	20	0	1.71	40	40	-0.4557	Alto	11.0345	 65 574	705
La Esperanza	41	6	13.79	20.69	0	0	100	1.78	0	33.33	-0.5022	Alto	10.6653	 68 070	755
El Toro	25	6	0	28.57	0	0	100	1.25	0	16.67	-0.8424	Medio	7.9647	 86 270	 1 206
San Andrés	15	7	0	60	0	0	14.29	0.56	0	14.29	-1.011	Medio	6.6261	 94 324	 1 467
La Taponcita	12	3	0	50	66.67	0	100	1.2	0	0	-0.3573	Alto	11.8151	 60 480	596
El Venadito	19	5	9.09	45.45	80	0	100	1.36	40	100	0.714	Muy alto	20.3199	 22 391	124
San Juan de la Reforma	16	3	42.86	64.29	33.33	100	100	2	33.33	100	1.7984	Muy alto	28.9289	 6 917	15
San Francisco	15	3	37.5	87.5	100	100	100	1.5	33.33	100	2.212	Muy alto	32.2127	 3 968	5
Los Segovia	25	4	6.25	18.75	0	0	100	2.08	0	75	-0.2813	Alto	12.4187	 56 794	524
San Antonio de Buenavista (Los Cochinitos)	42	9	11.11	22.22	22.22	11.11	11.11	1.17	44.44	44.44	-0.4017	Alto	11.4632	 62 759	645
Los Terrenos	91	21	6.15	38.46	19.05	5	10	1.42	9.52	33.33	-0.6029	Alto	9.8659	 73 397	867
La Punta de la Loma	16	5	9.09	45.45	0	0	100	0.94	0	40	-0.5055	Alto	10.6392	 68 252	759
El Puertecito	11	3	30	70	66.67	66.67	100	1.22	0	100	1.2387	Muy alto	24.4853	 13 059	54
San Rafael del Castillo	66	12	15.91	40.48	8.33	0	0	1.4	18.18	8.33	-0.6837	Alto	9.2241	 77 792	959
La Mesa de Berrones	126	31	26.09	53.73	22.58	9.68	100	1.88	32.26	87.1	0.7445	Muy alto	20.5623	 21 755	116
El Tropezón	25	4	18.75	43.75	25	50	100	1.79	0	100	0.649	Alto	19.8038	 23 923	136
San Juan	50	13	15.38	50	7.69	8.33	100	1.52	30.77	76.92	0.3087	Alto	17.1029	 33 304	225
El Chapulín	17	5	58.33	83.33	80	40	100	1.13	0	100	1.6122	Muy alto	27.4505	 8 672	23
El Fraile (El Coyote)	14	4	33.33	66.67	75	75	100	1.17	0	100	1.3338	Muy alto	25.2404	 11 807	44
Guadalupito	9	3	0	33.33	0	100	33.33	1.5	0	100	0.1819	Alto	16.0963	 37 553	272
Taponcita de Camarillo	36	6	0	26.32	83.33	100	100	2.12	33.33	100	1.2116	Muy alto	24.2706	 13 451	56
Parada la Escondida	28	7	0	6.67	0	14.29	100	1.12	0	14.29	-1.0203	Medio	6.5522	 94 754	 1 484
Parada del Mirador	19	5	0	33.33	20	20	40	1.06	0	20	-0.7802	Alto	8.4585	 83 010	 1 109
San Isidrillo	39	14	10	43.33	64.29	7.14	50	1.05	0	28.57	-0.297	Alto	12.294	 57 563	540
El Canelo (Los Jacales)	26	7	12.5	62.5	42.86	28.57	100	1.37	42.86	71.43	0.7352	Muy alto	20.4887	 21 966	119
Parada Cruz de Elorza (Kilómetro Treinta Cruz de Elorza)	19	4	10	40	0	0	100	2.38	25	75	0.2299	Alto	16.4774	 35 900	255
Parada la Baticolla (La Escondida)	14	4	22.22	33.33	0	25	100	1.27	0	50	-0.1557	Alto	13.4161	 51 064	435
Santa Ana	17	3	9.09	27.27	0	0	100	1.21	0	0	-0.8535	Medio	7.8765	 86 868	 1 228
La Tiradera	6	3	0	83.33	0	0	100	0.67	33.33	33.33	-0.129	Alto	13.628	 49 894	412
Majada el Mirador	39	10	12.5	20.83	30	20	100	1.63	10	50	-0.0897	Alto	13.9402	 48 206	390
Los Lara (Rancho Nuevo)	37	9	30	60	11.11	0	100	1.76	0	33.33	0.1478	Alto	15.8256	 38 775	285
La Escondida	11	3	0	37.5	0	0	100	1.1	33.33	0	-0.6661	Alto	9.364	 76 826	940
La Laguna	61	15	8.11	25.71	0	13.33	100	1.3	6.67	26.67	-0.5666	Alto	10.1542	 71 478	818
Parada Santa Rita	18	4	9.09	50	50	50	100	1.29	50	50	0.6411	Alto	19.7411	 24 101	138
El Jilguero	25	6	0	47.06	33.33	0	100	1.67	16.67	33.33	-0.1351	Alto	13.5795	 50 181	418
Hermanos Zapata	9	4	11.11	33.33	25	25	25	0.82	0	50	-0.5136	Alto	10.5745	 68 680	764
Pulgas	6	3	60	80	0	100	100	1.2	66.67	100	1.9851	Muy alto	30.4114	 5 399	12
Ninguno	17	3	0	0	0	0	100	1.55	0	0	-1.1436	Bajo	5.5735	 99 575	 1 664
Majada de Rodríguez	25	4	0	35	100	100	100	1.67	100	100	1.7313	Muy alto	28.3961	 7 539	19
Tanque San Pedro	11	3	22.22	77.78	100	33.33	100	1	33.33	100	1.3757	Muy alto	25.5733	 11 285	41
Doctor Coss	790	231	4.09	31.79	2.16	0	0.88	0.86	2.2	6.06	-1.2218	Bajo	4.9528	 101 909	 1 771
Las Ánimas	11	5	10	50	0	0	0	0.69	0	0	-1.0819	Bajo	6.0635	 97 324	 1 573
Araujo	15	3	0	70	0	0	0	1.36	0	0	-0.826	Medio	8.0944	 85 411	 1 172
La Bandera	10	6	0	40	0	0	0	0.48	0	0	-1.363	Muy bajo	3.8318	 104 527	 1 914
El Brasil	125	35	5.15	38.95	0	0	0	0.9	0	5.71	-1.1596	Bajo	5.4464	 100 119	 1 692
La Canela	30	8	0	36.36	25	0	0	1.11	0	0	-1.0812	Bajo	6.0683	 97 308	 1 572
Cantú (Gachupines)	191	63	15.23	42.38	4.76	0	1.59	0.87	1.59	4.76	-0.97	Medio	6.9518	 92 508	 1 420
El Coyote	11	5	0	60	0	0	0	0.55	0	0	-1.1462	Bajo	5.5524	 99 665	 1 668
Francisco I. Madero	175	58	7.52	37.12	3.45	0	1.72	0.74	0	6.9	-1.1591	Bajo	5.4506	 100 100	 1 690
El Juguete	10	3	0	16.67	0	0	0	1.43	0	0	-1.3338	Muy bajo	4.063	 104 134	 1 888
La Lajilla	48	16	5.56	61.11	12.5	0	6.25	0.83	0	0	-0.8965	Medio	7.5352	 89 021	 1 306
El Palmito	41	13	2.78	28.57	0	0	0	0.85	0	0	-1.3401	Muy bajo	4.0137	 104 225	 1 894
Reforma	14	5	33.33	75	0	0	0	0.78	0	0	-0.5188	Alto	10.5335	 68 964	770
San Felipe	8	4	14.29	71.43	25	0	100	0.73	0	0	-0.3381	Alto	11.9682	 59 505	577
Serafín	8	3	0	80	33.33	0	100	1.33	0	0	-0.2193	Alto	12.9107	 53 929	472
El Zacate	5	3	40	100	33.33	0	100	0.63	0	0	0.2866	Alto	16.927	 33 985	234
La Guinea	26	5	0	27.27	20	0	0	1.53	0	20	-0.9643	Medio	6.9969	 92 260	 1 409
Buena Vista	4	3	0	100	0	0	100	0.5	0	0	-0.4425	Alto	11.1389	 64 915	690
Las Comitas	8	3	0	50	0	0	100	0.73	0	0	-0.8737	Medio	7.7161	 87 900	 1 261
Loma Ceniza	10	3	11.11	62.5	0	33.33	0	1	0	66.67	-0.2497	Alto	12.6694	 55 293	498
La Jara	5	3	0	60	0	0	33.33	0.5	0	0	-1.0525	Medio	6.2964	 96 118	 1 532
Loma Ceniza (Las Tranquitas)	8	3	14.29	42.86	33.33	0	0	1.6	0	33.33	-0.4544	Alto	11.0444	 65 500	704
Doctor González	 2 092	581	4.27	25.76	3.1	0.86	4.49	1.03	2.76	5.16	-1.2118	Bajo	5.0316	 101 628	 1 760
Las Comitas	9	4	14.29	42.86	0	0	50	0.56	0	0	-0.9733	Medio	6.9248	 92 645	 1 422
Los Peña	22	8	5.88	50	12.5	0	25	0.92	0	0	-0.9172	Medio	7.3709	 90 036	 1 328
Los Frijoles (Los Ruiz)	16	5	0	25	20	0	80	1.6	0	0	-0.831	Medio	8.0552	 85 678	 1 180
El Guardado	19	10	16.67	72.22	20	0	60	1.12	20	10	-0.1533	Alto	13.4348	 50 959	432
Los Hualiches	154	43	3.88	49.51	4.65	0	6.98	1.11	0	2.33	-0.9846	Medio	6.8352	 93 176	 1 439
El Jaral	5	3	0	60	0	0	100	0.56	0	0	-0.8213	Medio	8.1316	 85 176	 1 164
La Morita (La Mora)	24	6	6.25	14.29	16.67	0	66.67	1.26	0	0	-1.014	Medio	6.6019	 94 468	 1 472
Nuevo Repueblo	406	115	7.67	29.9	6.09	0.87	32.17	1.02	4.35	6.09	-1.0081	Medio	6.6487	 94 208	 1 464
Papagayos	24	8	5.88	29.41	37.5	12.5	50	1.26	25	12.5	-0.4761	Alto	10.8722	 66 674	723
La Venadera	148	44	11.01	42.59	2.27	6.98	6.98	0.99	2.27	18.18	-0.8558	Medio	7.8581	 86 973	 1 232
La Guardarraya	21	7	6.67	46.67	0	0	0	0.95	0	0	-1.0854	Bajo	6.0356	 97 457	 1 578
Los Peña (Elena Peña Chávez)	11	4	0	25	0	0	0	0.61	0	0	-1.4756	Muy bajo	2.9373	 105 663	 1 976
Papagayos	11	6	0	0	16.67	0	0	1.1	0	16.67	-1.3908	Muy bajo	3.6105	 104 859	 1 935
Yolanda (Kilómetro Sesenta y Dos)	9	3	0	28.57	0	0	0	1.13	0	33.33	-1.0964	Bajo	5.9479	 97 890	 1 595
María Aurora	6	4	0	0	0	0	0	0.67	0	25	-1.5549	Muy bajo	2.3082	 106 233	 2 006
Los Partidores (Rogelio González)	4	4	25	25	0	0	25	0.57	0	50	-0.791	Alto	8.3721	 83 542	 1 127
Las Tres G (Guadalupe González Garza)	25	7	5.56	16.67	42.86	0	28.57	2.08	0	28.57	-0.5724	Alto	10.1077	 71 805	823
Jesús Gutiérrez Chapa	12	4	0	0	50	0	75	1.2	0	25	-0.8775	Medio	7.6857	 88 082	 1 266
Ninguno	11	4	11.11	44.44	0	0	0	1.22	0	25	-0.8266	Medio	8.0895	 85 441	 1 174
Galeana	 7 024	 1 782	3.42	16.68	1.68	0.22	4.91	0.93	1.41	8.87	-1.3372	Muy bajo	4.0363	 104 189	 1 891
Los Adobes	514	112	10.66	43.22	0.89	1.79	1.79	1.54	3.57	18.75	-0.7482	Alto	8.7126	 81 229	 1 051
Agua Blanca	40	12	42.86	82.86	0	0	100	1.11	8.33	58.33	0.5008	Alto	18.6277	 27 718	168
El Anhelo	106	32	12	60	28.13	3.13	50	1.33	15.63	37.5	-0.1043	Alto	13.8243	 48 815	400
Barrio de Jalisco (Jalisco)	102	31	7.69	28.77	6.45	0	6.45	0.69	0	3.23	-1.2426	Bajo	4.7872	 102 417	 1 787
El Barrocito	117	35	11.9	45.24	11.43	2.86	52.94	1.08	8.57	31.43	-0.4944	Alto	10.7273	 67 646	736
Lázaro Cárdenas (La Biznaga)	60	19	7.69	30.77	52.63	0	100	1.33	26.32	26.32	-0.1565	Alto	13.4093	 51 112	436
La Boca del Refugio	353	104	15.26	42.68	5.77	1.92	69.23	1.09	3.88	23.08	-0.5441	Alto	10.3325	 70 307	800
Brownsville	52	16	2.38	45	12.5	6.25	6.25	0.88	6.25	18.75	-0.8863	Medio	7.6159	 88 527	 1 280
Buena Vista	40	10	3.7	23.08	0	0	0	0.8	0	10	-1.3359	Muy bajo	4.0467	 104 171	 1 890
Calabacillas	19	6	18.75	62.5	0	0	0	0.79	0	16.67	-0.7208	Alto	8.9296	 79 743	 1 010
El Canelito	130	38	16.33	53.61	18.42	0	60.53	1.14	7.89	21.05	-0.3601	Alto	11.7932	 60 631	599
La Carbonera	97	29	13.89	47.22	0	0	89.66	0.93	0	20.69	-0.581	Alto	10.0393	 72 283	836
El Carmen	74	25	18.64	64.41	8	0	96	0.81	4	20	-0.2942	Alto	12.316	 57 407	537
La Casita	330	83	7.39	33.78	25.3	1.2	3.61	1.51	7.23	20.48	-0.7104	Alto	9.0122	 79 169	994
El Castillo	290	81	7.48	41.9	4.94	2.47	98.77	1.16	6.17	22.22	-0.5256	Alto	10.4796	 69 339	779
Ciénega del Toro	321	85	13.39	55.45	30.59	2.35	37.65	1.18	3.53	30.59	-0.3283	Alto	12.0457	 59 024	566
La Concha	265	61	6.36	30.95	4.92	3.28	1.64	1.34	6.56	18.03	-0.9293	Medio	7.2748	 90 626	 1 356
Cieneguillas y Crucitas	108	34	7.59	44.87	0	0	0	0.92	2.94	14.71	-0.9904	Medio	6.7897	 93 458	 1 444
El Cristal	180	42	11.11	33.63	4.76	2.38	4.76	1.49	4.76	38.1	-0.6898	Alto	9.1759	 78 091	966
La Cuesta	62	20	6.82	43.18	0	0	90	1.09	0	20	-0.6686	Alto	9.3441	 76 976	943
El Cuije	258	56	5.2	33.33	0	0	100	1.16	3.57	12.5	-0.7555	Alto	8.6541	 81 645	 1 067
Las Delicias	509	109	12.92	44.62	11.93	4.59	9.17	1.51	12.84	37.61	-0.4307	Alto	11.2325	 64 273	673
