Localidad,Población total,Viviendas particulares habitadas,Población de 15 años o más analfabeta,Población de 15 años o más sin primaria completa, Viviendas particulares habitadas sin excusado, Viviendas particulares habitadas sin energía eléctrica,Viviendas particulares habitadas sin disponibilidad de agua entubada,Promedio de ocupantes por cuarto en viviendas particulares habitadas,Viviendas particulares habitadas con piso de tierra,Viviendas particulares habitadas que no disponen de refrigerador,Índice de marginación,Grado de marginación,"Índice de marginación escala 
0 a 100",Lugar que ocupa en el contexto nacional,Lugar que ocupa en el contexto  estatal
Martinitos,49,22,10.63829787,60.86956522,4.545454546,0,0,0.6,4.761904762,4.545454546,-0.904269117,Medio,7.473234717,89431,1314
Mojarras,39,11,12.5,48.38709677,9.090909091,0,36.36363636,0.85,0,0,-0.852790162,Medio,7.881912067,86831,1226
El Palmarito,7,3,14.28571429,85.71428571,0,0,33.33333333,1.17,0,0,-0.436873806,Alto,11.18375832,64624,683
El Uno,18,4,0,11.11111111,0,0,0,3.6,0,0,-0.795623013,Alto,8.335746439,83766,1130
Uña de Gato,53,25,12.5,67.39130435,12,0,12,0.58,4,0,-0.772790509,Alto,8.517007447,82581,1101
El Nogalito,13,3,0,28.57142857,66.66666667,33.33333333,100,1.63,33.33333333,66.66666667,0.388412066,Alto,17.73547727,30824,199
Cal Roma,7,3,0,40,0,0,33.33333333,0.39,0,0,-1.280176002,Bajo,4.489012716,103207,1827
Santa Mónica,13,4,0,0,75,0,100,2.17,0,25,-0.386395412,Alto,11.58449249,62009,629
El Herradero,7,4,66.66666667,83.33333333,25,0,100,0.78,0,50,0.750223737,Muy alto,20.60780122,21607,115
La Curva,6,3,20,20,0,0,0,0.6,0,0,-1.277946972,Bajo,4.506708375,103168,1825
El Rodeo,12,4,0,11.11111111,0,0,0,0.71,0,0,-1.585525697,Muy bajo,2.064924951,106433,2017
Ciénega de Flores,15162,3864,2.797478329,15.22394264,1.940993789,0.157687254,0.605581885,1.05,0.920810313,5.15010352,-1.365265228,Muy bajo,3.813512604,104561,1918
San Francisco Uno,16,5,0,45.45454545,0,0,0,1.33,0,0,-1.076744591,Bajo,6.103999075,97123,1565
Villas Campestres,325,87,2.242152466,14.35185185,0,0,8.139534884,0.95,3.448275862,5.747126437,-1.375098864,Muy bajo,3.735446058,104708,1927
Nora Nelly Uno,37,11,23.07692308,32,0,0,0,1.31,0,27.27272727,-0.761777703,Alto,8.6044351,81992,1078
Tierra Blanca,15,9,13.33333333,60,0,0,22.22222222,0.56,22.22222222,0,-0.752056415,Alto,8.681609748,81434,1062
Santa María,26,7,16.66666667,50,28.57142857,0,0,1.86,0,14.28571429,-0.426072347,Alto,11.26950815,64032,670
El Puerto,17,6,0,20,16.66666667,0,16.66666667,1.13,16.66666667,33.33333333,-0.915467416,Medio,7.384334479,89948,1325
Tierra Blanca,27,10,16.66666667,33.33333333,20,10,80,1.13,11.11111111,40,-0.288171177,Alto,12.36426785,57130,532
San Francisco Dos,16,5,16.66666667,50,0,0,0,1.45,0,0,-0.790852427,Alto,8.373618817,83535,1126
San Luis,57,17,2.631578947,24.32432432,11.76470588,0,11.76470588,0.79,11.76470588,0,-1.212733577,Bajo,5.024419689,101658,1761
Portal de las Salinas,2671,721,0.99937539,5.780346821,0,0,0.416088766,0.93,0,5.131761442,-1.533171716,Muy bajo,2.480548899,106088,1999
Los Panchos,8,3,16.66666667,33.33333333,0,0,0,0.67,0,33.33333333,-0.966909214,Medio,6.975952111,92368,1413
Real del Sol,5983,1653,0.706621303,6.127910088,0.604960678,0.12180268,0.243753809,1.18,2.256097561,6.170598911,-1.439492356,Muy bajo,3.224243729,105367,1956
Campestre la Fortuna,14,5,9.090909091,36.36363636,0,20,40,0.67,0,20,-0.859625696,Medio,7.827646635,87166,1240
China,8997,2555,4.192712304,26.48640101,1.487279843,0.274294671,1.607843137,0.82,0.196772924,2.661448141,-1.318176278,Bajo,4.187338907,103878,1873
Barranco de Reyes,6,3,33.33333333,33.33333333,0,0,33.33333333,0.6,0,33.33333333,-0.670474387,Alto,9.329267168,77082,946
La Bóveda,7,3,14.28571429,85.71428571,0,33.33333333,66.66666667,0.58,0,33.33333333,-0.082555605,Alto,13.99659367,47885,386
Empalme Herreras,5,3,0,50,0,0,66.66666667,0.5,0,0,-1.043924091,Medio,6.364552054,95765,1518
Guadalupe (Guadalupe Uno),4,3,25,100,0,0,100,1,33.33333333,0,0.236355111,Alto,16.52833867,35659,253
El Hueso,6,5,0,50,40,20,100,0.43,20,100,0.144267152,Alto,15.79727753,38926,287
Los Lirios,31,8,21.05263158,57.89473684,25,12.5,100,1.63,0,62.5,0.314516991,Alto,17.14884447,33102,223
La Morita,55,21,4.444444444,25,0,14.28571429,90.47619048,0.72,0,19.04761905,-0.894810497,Medio,7.548324118,88943,1297
Las Muchachitas (Las Muchachas),8,3,0,16.66666667,0,0,100,0.89,0,100,-0.553868796,Alto,10.25496708,70789,811
El Oscuro,19,6,18.75,37.5,16.66666667,0,16.66666667,0.86,0,0,-0.8989334,Medio,7.515593516,89146,1309
El Cuchillo (Paso de la Loma),34,12,3.125,65.51724138,0,0,8.333333333,0.77,0,0,-0.96570088,Medio,6.985544745,92320,1412
Santa Teresa,23,4,0,11.76470588,0,0,0,1.53,0,0,-1.354943394,Muy bajo,3.895454828,104422,1906
Vía Nueva (Villa Nueva),16,7,8.333333333,33.33333333,0,0,42.85714286,0.76,0,14.28571429,-1.023653919,Medio,6.525471406,94892,1488
Santa Mónica,21,9,0,45,0,0,0,0.5,0,0,-1.308093469,Bajo,4.267383575,103704,1861
La Unión (Rancho Nuevo),17,6,0,42.85714286,0,16.66666667,100,1.13,33.33333333,100,0.103638398,Alto,15.47473696,40426,298
El Canelo,4,3,0,0,0,0,66.66666667,0.8,0,33.33333333,-1.254133316,Bajo,4.695758475,102670,1802
San Juanito,10,4,0,0,0,0,100,1.11,0,100,-0.658408289,Alto,9.425056626,76403,935
San Diego,8,3,0,33.33333333,0,0,100,0.73,0,0,-1.038346241,Medio,6.408833082,95530,1513
Santa Elena,12,3,12.5,25,0,66.66666667,100,1.71,66.66666667,66.66666667,0.57959584,Alto,19.25323299,25634,153
Las Delicias,16,5,0,33.33333333,60,0,80,1.07,0,20,-0.539681314,Alto,10.36759762,70071,795
Francisco I. Madero,128,40,4,44.32989691,0,0,100,1.07,0,10,-0.726262318,Alto,8.886382033,80019,1016
La Barreta (La Barreta Dos),7,3,0,42.85714286,0,0,100,0.78,0,100,-0.32516638,Alto,12.07057305,58890,561
La Barreta (La Barreta Tres),495,123,6.128133705,33.05084746,0.81300813,1.62601626,2.43902439,1.23,4.06504065,8.943089431,-1.045241219,Medio,6.354095732,95828,1522
Buenos Aires,24,6,0,36.84210526,50,16.66666667,100,1.85,50,100,0.646876463,Alto,19.78735546,23983,137
Doctor Ignacio Morones Prieto,117,37,8.791208791,57.95454545,5.405405405,0,51.35135135,1.04,5.405405405,16.21621622,-0.590351526,Alto,9.965340664,72770,848
Los Lirios,24,6,15.78947368,52.63157895,16.66666667,16.66666667,33.33333333,1.5,0,33.33333333,-0.252791287,Alto,12.64513913,55435,502
Las Colimas,14,6,10,20,16.66666667,16.66666667,100,0.93,0,100,-0.18492994,Alto,13.18387181,52400,456
Guadalupe,12,4,0,25,0,0,100,0.92,0,100,-0.463333868,Alto,10.97369912,65988,712
San Miguel,13,4,11.11111111,11.11111111,25,0,100,1.08,0,25,-0.726649996,Alto,8.883304367,80051,1017
El Dulce,27,9,0,0,22.22222222,0,75,0.79,0,22.22222222,-1.167999212,Bajo,5.379553584,100360,1703
El Catorce de Mayo,14,4,25,33.33333333,0,0,50,2.33,0,25,-0.29847702,Alto,12.28245258,57639,541
Las Flores,9,3,11.11111111,77.77777778,0,0,100,0.64,0,0,-0.485035105,Alto,10.80141894,67131,728
Doctor Arroyo,10272,2327,5.04402328,21.0815047,2.750322303,1.081782778,5.03690838,1.09,4.511930586,16.20111732,-1.152012958,Bajo,5.506464085,99858,1675
Acuña,397,109,6.293706294,28.15884477,0.917431193,0,1.834862385,0.88,1.834862385,8.256880734,-1.218115783,Bajo,4.981691824,101801,1765
Agua Nueva,242,50,13.7254902,36.42384106,12,6,100,1.81,8,64,0.008442599,Alto,14.71900354,44113,335
Puerta de Aguilar,265,60,16.38418079,36.57142857,21.66666667,6.666666667,100,1.3,6.666666667,25,-0.281225507,Alto,12.41940762,56787,523
Palmillas (Aguilillas),53,12,11.76470588,44.11764706,8.333333333,25,100,1.33,8.333333333,41.66666667,-0.10782911,Alto,13.79595422,48955,403
La Agüita,191,41,11.32075472,45.28301887,12.19512195,17.07317073,24.3902439,1.41,9.756097561,41.46341463,-0.341601128,Alto,11.94010207,59662,580
El Álamo,168,42,13.38582677,44.09448819,0,7.142857143,0,1.14,0,26.19047619,-0.77212361,Alto,8.522301773,82544,1098
Albercones,288,71,14.51612903,37.91208791,9.85915493,5.633802817,26.76056338,1.27,4.225352113,29.57746479,-0.599675784,Alto,9.891317923,73227,860
Los Altitos,114,18,25,41.17647059,27.77777778,0,5.882352941,2.28,29.41176471,55.55555556,0.172718015,Alto,16.02314116,37866,275
Álvaro Obregón (Cruz de Costilla),95,26,20,47.14285714,23.07692308,0,100,0.94,4,3.846153846,-0.409545858,Alto,11.40070744,63180,657
Amaro,195,55,19.58041958,48.57142857,52.72727273,3.636363636,100,1.26,14.54545455,43.63636364,0.195456523,Alto,16.20365595,37122,268
Los Arreozola,106,22,19.40298507,31.34328358,0,0,0,1.71,18.18181818,50,-0.441807864,Alto,11.14458819,64871,688
La Bolsa,184,43,17.29323308,50.37593985,9.302325581,4.651162791,4.651162791,1.18,11.62790698,51.1627907,-0.365243098,Alto,11.75241494,60897,609
La Bolsa y Flores,40,13,13.79310345,42.85714286,7.692307692,7.692307692,23.07692308,1.21,0,30.76923077,-0.609909435,Alto,9.810075767,73764,871
La Boquilla,58,17,20.93023256,47.61904762,70.58823529,0,100,1.05,17.64705882,29.41176471,0.16218827,Alto,15.93954839,38266,280
Boquillas,360,74,8.928571429,45.70135747,9.45945946,2.702702703,97.2972973,1.37,4.054054054,25.67567568,-0.383219777,Alto,11.609703,61824,624
El Canelo,162,39,8.928571429,38.73873874,5.128205128,15.38461538,100,1.09,7.692307692,30.76923077,-0.410577351,Alto,11.39251869,63231,658
Capaderito,182,44,7.56302521,37.81512605,4.545454546,0,4.545454546,1.26,4.545454546,27.27272727,-0.839327755,Medio,7.98878644,86095,1193
El Capadero (Capadero Grande),35,10,0,44,40,10,10,1.35,10,70,-0.266020223,Alto,12.54011822,56040,514
Carmen de la Laja,335,87,11.11111111,39.58333333,6.896551724,4.597701149,97.70114943,1.21,5.747126437,21.83908046,-0.47356152,Alto,10.89250459,66534,721
Carmen de Castaño,359,77,32.51028807,53.33333333,9.090909091,10.38961039,9.090909091,1.42,9.090909091,50.64935065,-0.052356133,Alto,14.23633902,46576,368
Las Catorce,233,46,17.72151899,41.7721519,17.39130435,4.347826087,100,1.46,8.695652174,30.43478261,-0.16173672,Alto,13.36799644,51316,440
El Cerrito del Aire,125,36,8.888888889,47.77777778,8.333333333,0,30.55555556,1,0,16.66666667,-0.785134105,Alto,8.419015013,83254,1117
Cerrito de Vacas,161,38,21.48760331,45.83333333,23.68421053,2.631578947,100,1.13,5.263157895,28.94736842,-0.171463552,Alto,13.29077778,51745,448
Coloradas,283,68,24.21052632,56.52173913,14.70588235,7.352941177,26.86567164,1.29,16.17647059,32.35294118,-0.150820595,Alto,13.45465657,50835,430
La Concepción,240,58,24.69135802,55.12820513,13.79310345,5.172413793,100,1.26,13.79310345,43.10344828,0.098653473,Alto,15.435163,40595,300
El Consuelo,149,38,16.52173913,40.35087719,2.631578947,0,100,0.82,7.894736842,7.894736842,-0.620471382,Alto,9.726227359,74342,891
La Contra de los Chávez,22,4,14.28571429,28.57142857,0,75,50,1.38,25,100,0.351883639,Alto,17.44548807,31947,211
Cruz de Elorza,401,119,20.80536913,51.38888889,3.361344538,3.361344538,100,0.85,9.322033898,16.80672269,-0.360847941,Alto,11.78730689,60667,600
Los Cuartos,166,42,5.982905983,31.25,0,0,2.380952381,1.14,2.380952381,7.142857143,-1.12694849,Bajo,5.705444049,99018,1644
San Isidro de Martínez (Las Cuatas),47,12,33.33333333,58.33333333,0,0,8.333333333,0.92,0,16.66666667,-0.517446179,Alto,10.54411629,68906,768
Charco de la Granja,139,28,10.75268817,31.03448276,50,0,100,1.53,3.571428571,10.71428571,-0.327684173,Alto,12.05058497,58995,565
El Charquillo,294,72,6.542056075,21.46341463,0,1.388888889,2.777777778,1.06,1.388888889,8.333333333,-1.228282081,Bajo,4.900984367,102064,1776
La Chiripa,152,33,10.57692308,37.25490196,9.090909091,0,100,1.49,6.060606061,33.33333333,-0.363253337,Alto,11.76821111,60788,603
San Francisco de los Desmontes,88,20,7.01754386,28.57142857,5,0,100,1.35,5,25,-0.613342365,Alto,9.782822678,73961,878
La Escondida de Arzola,138,29,20,37.75510204,10.34482759,10.34482759,100,1.19,3.448275862,31.03448276,-0.283195865,Alto,12.40376549,56887,526
San José de la Luz,106,21,35.0877193,64.28571429,66.66666667,4.761904762,100,1.63,14.28571429,23.80952381,0.611790552,Alto,19.508818,24820,148
Estanque Nuevo,115,30,26.5060241,65.85365854,23.33333333,3.448275862,100,1.14,0,40,0.125382436,Alto,15.64735694,39623,294
Guadalupe de Silva,128,30,18.62745098,40,10,3.333333333,100,1.2,17.24137931,26.66666667,-0.252138997,Alto,12.65031748,55406,501
Las Huertas de Quiroga,96,20,32.72727273,80,5,5,25,1.39,10,45,0.171776266,Alto,16.01566487,37907,277
El Jabalí,7,3,25,100,33.33333333,33.33333333,66.66666667,0.54,0,33.33333333,0.375424417,Alto,17.63237187,31195,204
Las Jarillas,157,37,14,45.36082474,2.702702703,5.405405405,100,1.13,2.702702703,10.81081081,-0.502021084,Alto,10.66657189,68059,754
El Jarro,107,32,10.71428571,39.02439024,9.375,9.375,7.142857143,0.97,3.125,18.75,-0.834165013,Medio,8.029772037,85839,1187
Jesús María de Berrones,208,50,13.47517731,44.68085106,16,6,14,1.35,28,48,-0.251508449,Alto,12.65532323,55378,500
Jesús María y el Salto,211,41,12.58741259,40.42553191,2.43902439,0,100,1.4,9.756097561,34.14634146,-0.33969861,Alto,11.95520564,59564,578
La Joya del Orégano,35,8,4,22.72727273,12.5,12.5,100,1.25,0,12.5,-0.725246305,Alto,8.894447883,79954,1014
Lagunita de Castillo,415,97,12.68656716,40,18.55670103,1.041666667,100,1.31,9.375,28.86597938,-0.301637665,Alto,12.25736108,57810,543
Lagunita y Ranchos Nuevos,86,23,19.67213115,46.66666667,21.73913043,4.347826087,100,1.05,13.04347826,34.7826087,-0.119463616,Alto,13.70359106,49475,409
La Lagunita,92,26,17.74193548,41.66666667,46.15384615,19.23076923,100,1.44,19.23076923,30.76923077,0.166202006,Alto,15.97141234,38114,279
La Lajita,175,49,13.63636364,41.22137405,8.163265306,2.040816327,2.040816327,0.88,2.040816327,16.32653061,-0.89160604,Medio,7.573763425,88792,1292
El Leoncito,50,18,30.95238095,71.42857143,66.66666667,11.11111111,100,0.83,16.66666667,55.55555556,0.659983594,Alto,19.89140939,23678,133
La Lobera de Loera,8,3,12.5,87.5,33.33333333,66.66666667,100,0.89,0,100,0.90883107,Muy alto,21.86694148,18393,98
La Lobera de Portillo,136,29,8.235294118,50,3.448275862,6.896551724,37.93103448,1.53,3.448275862,27.5862069,-0.498544713,Alto,10.69416985,67871,745
Entronque los Medina (La Loma),385,84,8.849557522,18.95734597,7.142857143,7.142857143,27.38095238,1.12,4.761904762,10.71428571,-1.013693288,Medio,6.604546137,94452,1471
La Luz de Tebaida,30,8,15.78947368,52.63157895,12.5,62.5,100,1.25,0,100,0.556800256,Alto,19.07226508,26217,158
El Llano,11,4,44.44444444,66.66666667,25,0,100,0.85,0,50,0.327108098,Alto,17.24880183,32728,219
Madrugadores,39,8,3.225806452,41.37931034,12.5,0,0,1.56,0,12.5,-0.86544854,Medio,7.781420663,87466,1248
Los Medina,597,160,15.95238095,36.13861386,10,2.5,17.5,0.97,5,15.625,-0.808798523,Alto,8.231149668,84477,1143
Mesa de González,110,33,8.333333333,50,12.12121212,0,100,0.92,21.21212121,21.21212121,-0.372379346,Alto,11.69576222,61224,617
Mesa del Traidor,313,68,17.80104712,48.92473118,22.05882353,2.941176471,100,1.43,8.955223881,41.17647059,-0.013005025,Alto,14.54873671,44966,353
El Milagro,73,18,6,28,5.555555556,0,100,0.99,0,11.11111111,-0.845439977,Medio,7.940263177,86435,1212
El Mirador,7,3,16.66666667,50,100,100,100,0.88,33.33333333,100,1.411840757,Muy alto,25.86019789,10868,36
Nueva Rosita,16,5,38.46153846,69.23076923,40,0,100,1.14,80,80,1.177742137,Muy alto,24.00175293,13902,58
El Ojo de Agua,28,5,18.75,50,60,0,40,1.65,0,100,0.373194678,Alto,17.61467058,31256,206
Palma Gorda,340,82,18.46846847,49.54954955,6.097560976,2.43902439,100,1.51,17.07317073,71.95121951,0.169714817,Alto,15.99929959,37983,278
Panalillos,50,8,25,41.66666667,0,0,100,2,37.5,12.5,0.037751565,Alto,14.9516794,42927,324
Panales de Arriba,395,77,12,37.90322581,40.25974026,2.597402597,5.194805195,1.86,18.18181818,53.24675325,-0.141759784,Alto,13.52658788,50444,422
El Pequeño,114,34,16.85393258,55.05617978,55.88235294,0,100,0.85,11.76470588,26.47058824,-0.013857468,Alto,14.5419694,45007,355
El Pineño,46,15,37.5,62.5,20,0,13.33333333,1.1,13.33333333,13.33333333,-0.170767845,Alto,13.29630081,51716,447
El Pocito,130,29,17.44186047,50,31.03448276,3.448275862,100,1.18,24.13793103,27.5862069,0.002621134,Alto,14.67278852,44332,340
Pompeya,206,41,17.39130435,53.04347826,19.51219512,5.128205128,7.317073171,1.65,4.878048781,39.02439024,-0.258308306,Alto,12.60134102,55698,506
Presa de Guadalupe,50,16,13.51351351,48.57142857,6.25,0,100,0.86,0,6.25,-0.609259865,Alto,9.815232523,73733,870
Presa de Maltos,495,135,31.25,55.35714286,5.925925926,11.94029851,74.62686567,1.2,6.71641791,47.40740741,0.058071801,Alto,15.1129962,42147,315
La Presa de Quintero,78,20,25,57.44680851,35,0,95,1.37,25,40,0.289252705,Alto,16.94827821,33897,233
Presa San Antonio,103,27,6.849315069,42.46575342,3.703703704,3.703703704,100,1.08,0,14.81481481,-0.632726379,Alto,9.628938289,74993,905
Presa de San Carlos,332,64,34.89583333,61.2565445,14.0625,4.761904762,100,1.6,4.6875,43.75,0.319722369,Alto,17.19016854,32944,221
La Presita de Macías,46,10,12.12121212,30.3030303,40,10,100,1.31,20,30,-0.144121521,Alto,13.50783869,50549,424
La Presita de Rueda,90,28,25.35211268,63.23529412,10.71428571,3.571428571,3.571428571,1,25,42.85714286,-0.146710724,Alto,13.48728372,50654,426
Puerta de Aguilar,68,17,11.9047619,33.33333333,5.882352941,5.882352941,100,1.31,0,17.64705882,-0.553633164,Alto,10.2568377,70779,810
Puerto de Dolores,194,50,16.66666667,38.93129771,14,4,100,1.19,4,24,-0.370012474,Alto,11.71455217,61111,612
Puerto del Aire,477,110,23.5483871,52.25806452,13.63636364,2.727272727,100,1.32,2.727272727,46.36363636,-0.000232113,Alto,14.65013737,44439,343
San José del Puerto,23,7,5.263157895,31.57894737,14.28571429,0,0,0.74,14.28571429,0,-1.127693301,Bajo,5.699531195,99040,1646
Santa Teresa (Don Jesús),57,13,3.03030303,42.42424242,0,7.692307692,0,1.84,30.76923077,61.53846154,-0.296987419,Alto,12.29427812,57559,539
Santa Teresa de San Juan (Rancho de Juana),11,3,12.5,37.5,66.66666667,66.66666667,100,1.57,33.33333333,100,1.024561011,Muy alto,22.78568985,16322,81
Rancho Largo,115,29,4.054054054,36.61971831,0,0,3.448275862,1.16,24.13793103,27.5862069,-0.815226742,Medio,8.180117789,84834,1157
La Reforma,40,10,6.451612903,38.70967742,0,0,100,1.03,0,20,-0.701559564,Alto,9.082490448,78689,983
El Refugio de Apanico,48,12,11.11111111,44.44444444,58.33333333,0,83.33333333,1.45,0,41.66666667,-0.055034271,Alto,14.21507801,46682,370
El Refugio de las Viejas,53,10,8.823529412,36.36363636,20,0,0,1.56,0,20,-0.75604188,Alto,8.649970233,81677,1068
El Refugio de Cedillo,186,58,25.17985612,63.30935252,8.620689655,1.724137931,98.27586207,0.89,15.51724138,20.68965517,-0.09634368,Alto,13.88713391,48468,392
El Refugio y el Reparo,209,54,12.24489796,46.2585034,14.81481481,3.703703704,3.703703704,1.27,11.11111111,38.88888889,-0.499104025,Alto,10.68972963,67901,746
El Represadero,105,30,18.51851852,41.7721519,16.66666667,10,100,0.97,10,30,-0.248563409,Alto,12.67870309,55237,497
Rinconada de Martínez (San José de Rinconada),22,6,5.263157895,47.36842105,0,0,66.66666667,0.79,0,0,-0.924919008,Medio,7.309300875,90421,1348
El Rucio,162,41,10.16949153,58.47457627,31.70731707,4.878048781,100,1.03,4.878048781,39.02439024,-0.096332508,Alto,13.8872226,48467,391
Los Saldaña (Santa Rita de los Saldaña),18,6,13.33333333,28.57142857,0,0,100,0.69,16.66666667,16.66666667,-0.713904857,Alto,8.984484537,79358,999
San Agustín de Valdez,79,20,7.843137255,41.17647059,10,5,100,1.34,15,35,-0.29164802,Alto,12.33666614,57281,534
San Antonio de Peña Nevada,417,97,22.44897959,51.20274914,2.06185567,4.166666667,6.18556701,1.28,10.30927835,49.48453608,-0.324780285,Alto,12.07363815,58875,560
San Blas,34,7,3.846153846,42.30769231,0,0,100,1.48,0,14.28571429,-0.610155124,Alto,9.808125306,73781,872
San Cayetano de Vacas,504,117,14.07185629,33.2278481,11.11111111,3.418803419,17.94871795,1.2,9.401709402,25.64102564,-0.693580499,Alto,9.145834064,78279,974
San Diego,8,3,20,100,0,33.33333333,100,1.14,0,66.66666667,0.59221794,Alto,19.35343639,25292,152
San Felipe,18,4,10,20,100,0,100,1.29,50,50,0.337321176,Alto,17.32988065,32401,217
San Felipe,89,21,12.06896552,34.48275862,19.04761905,9.523809524,100,1.41,14.28571429,47.61904762,-0.133746343,Alto,13.5902044,50104,417
San Francisco del Yugo,72,17,13.20754717,45.28301887,5.882352941,5.882352941,100,1.24,11.76470588,35.29411765,-0.250430992,Alto,12.66387686,55320,499
San Francisco de Zúñiga,30,9,20.68965517,35.71428571,55.55555556,0,100,0.86,0,33.33333333,-0.1958256,Alto,13.09737414,52868,463
San Gregorio,89,25,3.174603175,47.45762712,4,0,100,1.06,0,12,-0.673022397,Alto,9.309039216,77220,949
San Ignacio de Torres,191,42,11.53846154,38.75968992,4.761904762,0,100,1.58,12.5,30.95238095,-0.306955424,Alto,12.21514484,58041,546
San Isidro de Fernández,194,48,12.40875912,38.97058824,4.166666667,0,10.86956522,1.24,2.173913044,22.91666667,-0.797412644,Alto,8.321539047,83870,1132
San Joaquín,62,16,8.888888889,50,0,0,100,1.24,6.25,6.25,-0.542296426,Alto,10.34683696,70210,797
San José de Flores,121,27,18.68131868,45.97701149,0,3.703703704,3.703703704,1.15,3.703703704,18.51851852,-0.714904765,Alto,8.976546541,79421,1002
San José del Palmar (El Pachón),71,15,12.76595745,39.13043478,26.66666667,0,100,1.12,6.666666667,20,-0.392793678,Alto,11.53369842,62307,635
San José del Sitio,107,27,18.75,48.75,7.407407407,3.703703704,100,1.08,14.81481481,25.92592593,-0.230969575,Alto,12.81837573,54449,480
San José y la Pinta,49,16,33.33333333,56.41025641,6.25,6.25,100,0.94,0,43.75,0.003353766,Alto,14.67860468,44304,338
San Juan de la Cruz,410,105,21.72284644,51.90839695,1.904761905,6.666666667,5.714285714,1.14,6.666666667,23.80952381,-0.532665645,Alto,10.4232931,69713,789
San Juan del Palmar,405,105,28.98550725,52.01465201,4.761904762,4.854368932,98.07692308,0.99,4.807692308,29.52380952,-0.157174892,Alto,13.40421155,51138,437
San Juanito,110,26,24.41860465,55.29411765,30.76923077,3.846153846,100,1.22,23.07692308,46.15384615,0.259020161,Alto,16.7082703,34913,244
San Mateo,31,7,21.42857143,64.28571429,14.28571429,14.28571429,0,0.86,14.28571429,14.28571429,-0.39488156,Alto,11.51712329,62416,637
San Miguel de los Aguirre,53,18,28.26086957,68.88888889,22.22222222,0,100,0.93,5.555555556,16.66666667,-0.010861129,Alto,14.56575652,44862,350
San Miguelito,48,17,17.14285714,50,0,0,100,0.66,0,17.64705882,-0.571838772,Alto,10.11230836,71770,822
San Pablo de Rueda,176,47,19.84126984,51.58730159,4.255319149,0,100,1.14,23.40425532,38.29787234,-0.080021728,Alto,14.01670943,47770,384
San Pedro de Nolasco,25,9,15,55,0,11.11111111,100,0.86,0,22.22222222,-0.398044364,Alto,11.49201465,62568,639
San Pedro de González (San Pedro de Rueda),448,109,16.77631579,51.97368421,10.09174312,7.407407407,33.33333333,1.1,7.407407407,25.68807339,-0.447063602,Alto,11.10286432,65149,696
San Rafael y la Cecilia,17,4,35.71428571,50,50,25,100,1.13,50,25,0.623729236,Alto,19.60359596,24512,144
San Ramón de los Martínez,543,161,16.19537275,50.12919897,5.590062112,2.48447205,100,0.84,5.590062112,17.39130435,-0.44827874,Alto,11.09321768,65190,697
San Vicente de Rueda,85,19,30.18867925,40.38461538,10.52631579,10.52631579,21.05263158,1.31,21.05263158,57.89473684,-0.065242772,Alto,14.13403552,47147,380
San Vicente de González,99,26,7.462686567,46.26865672,7.692307692,7.692307692,100,0.93,11.53846154,19.23076923,-0.474255576,Alto,10.88699468,66568,722
San Vicente de la Puerta,173,47,24.8,50.4,4.255319149,6.382978723,12.76595745,1.07,8.510638298,36.17021277,-0.40607445,Alto,11.42826599,62990,651
Santa Ana,375,101,11.67883212,38.13229572,5.940594059,0.99009901,17.82178218,0.95,1.98019802,9.900990099,-0.93536375,Medio,7.226382923,90915,1367
Santa Fe del Hueso (El Hueso),16,4,0,53.84615385,0,100,25,1.23,0,100,0.283955729,Alto,16.90622696,34076,235
Santa Gertrudis,235,57,10.84337349,43.37349398,8.771929825,1.754385965,19.29824561,1.11,7.01754386,21.05263158,-0.722058507,Alto,8.919754941,79800,1011
Santa Isabel,132,33,19.76744186,39.53488372,36.36363636,0,100,1.28,6.060606061,27.27272727,-0.161343689,Alto,13.37111661,51306,439
Santa Lucía,114,30,18.07228916,55.42168675,23.33333333,16.66666667,10,1.12,20,43.33333333,-0.138444315,Alto,13.55290848,50316,420
Santa Margarita,112,24,22.3880597,47.76119403,8.333333333,0,100,1.14,16.66666667,45.83333333,-0.06314435,Alto,14.15069432,47051,378
Santa María,176,43,1.492537313,35.07462687,2.325581395,2.325581395,100,1.17,2.325581395,9.302325581,-0.781946387,Alto,8.444321431,83099,1113
Santa Mónica,5,3,60,80,33.33333333,33.33333333,0,0.63,33.33333333,66.66666667,0.856588302,Muy alto,21.45220042,19404,104
Santa Rita,483,85,21.3622291,43.26018809,12.94117647,5.882352941,100,1.69,11.76470588,34.11764706,-0.011615706,Alto,14.55976613,44899,352
Santa Rosa,63,14,23.40425532,41.86046512,7.142857143,0,100,1.15,7.142857143,21.42857143,-0.326394252,Alto,12.0608253,58936,564
Santa Teresa y San Jerónimo,93,24,20,44.28571429,16.66666667,4.166666667,100,1.04,0,16.66666667,-0.371915509,Alto,11.69944449,61207,615
La Soledad de Ríos,17,3,18.18181818,36.36363636,66.66666667,0,0,1.89,100,100,0.896732444,Muy alto,21.77089379,18615,99
El Tajo,88,24,11.5942029,44.61538462,8.333333333,4.166666667,100,1,8.333333333,12.5,-0.50081052,Alto,10.67618223,67994,750
Tanquecillos,156,34,6.12244898,40.20618557,5.882352941,0,11.76470588,1.31,2.941176471,14.70588235,-0.87614523,Medio,7.696502568,88012,1265
